,generation algorithm,turn_num,L_num,L_size,L_size_std,R_num,R_size,R_size_std,boader_l,neighbor_sum,correct_path_len,turn_pos_num,dead_end_num,T_num,cross_num,straight_len_std,straight_num,gorl_depth,depth_std,depth_max,depth_mean
192,Division,7,5,12,0.8,8,112,23.2594067,150,18,37,22,25,21,1,92,68,36,10.54787182,44,23.68
193,Division,16,8,94,17.01286278,7,22,2.099562637,177,18,45,24,24,18,2,92,66,44,12.15181742,50,25
194,Division,16,5,62,14.93452376,6,46,9.339283817,171,12,53,20,20,14,2,96,54,52,15.97498044,62,38
195,Division,12,3,66,22.86190427,4,58,6.538348415,131,7,37,33,20,16,1,90,68,36,14.45371924,54,28.3
196,Division,13,6,68,10.81151649,4,44,10.04987562,151,11,49,27,21,11,4,91,61,48,15.14794763,48,25.33333333
197,Division,8,4,8,0,1,112,0,61,2,41,25,23,19,1,92,66,40,13.06664609,60,39.04347826
198,Division,9,9,112,21.20330745,1,4,0,133,16,45,22,21,19,0,99,61,44,11.13756488,48,32.95238095
199,Division,23,10,36,3.555277767,4,56,11.04536102,147,13,69,32,22,14,3,89,69,68,22.16187628,82,43.18181818
200,GrowingTree,15,3,102,31.4960315,1,2,0,113,2,57,37,9,7,0,108,52,56,36.20244859,104,67.77777778
201,GrowingTree,25,4,78,22.06241147,1,6,0,97,3,77,36,11,9,0,105,55,76,27.0010713,92,47.81818182
202,GrowingTree,19,3,90,19.79898987,2,10,1,137,1,61,44,9,7,0,101,59,60,27.36493205,92,54.22222222
203,GrowingTree,35,1,2,0,7,50,7.989789402,104,3,109,42,10,8,0,98,58,108,27.39050931,108,71.6
204,GrowingTree,9,0,0,0,4,120,34.75629439,116,3,41,35,9,7,0,110,50,40,20.12798555,76,36.44444444
205,GrowingTree,23,3,16,2.494438258,4,76,17.29161647,129,2,69,40,11,9,0,101,59,68,21.84997683,88,48.18181818
206,GrowingTree,12,2,30,11,4,90,28.71846096,143,3,41,36,12,10,0,103,57,40,24.64413385,100,44
207,GrowingTree,10,5,94,18.0930926,1,10,0,143,3,57,35,12,10,0,104,56,56,20.93574827,68,42.16666667
208,GrowingTree,18,2,38,15,4,66,14.92481156,140,3,57,40,9,7,0,105,55,56,18.8037296,68,48.44444444
209,GrowingTree,8,2,110,21,2,6,1,125,1,45,36,8,6,0,108,48,44,22.99456458,80,53.5
210,GrowingTree,20,2,6,1,3,94,20.15495528,139,2,61,36,13,11,0,100,58,60,29.06267457,98,41.23076923
211,GrowingTree,13,1,8,0,3,100,41.48359783,81,2,53,35,11,9,0,103,53,52,31.7812773,96,50.36363636
212,GrowingTree,12,5,88,24.6056904,1,28,0,137,4,45,30,9,7,0,115,45,44,21.37033828,72,32.44444444
213,GrowingTree,18,1,30,0,2,74,27,104,1,57,33,11,9,0,107,51,56,26.44814043,100,62.36363636
214,GrowingTree,24,4,84,16.2788206,2,8,2,144,3,69,43,10,8,0,100,60,68,29.28822289,104,41
215,GrowingTree,16,5,92,20.17523234,2,4,0,121,4,65,30,12,10,0,109,51,64,29.5009416,96,46.83333333
216,GrowingTree,20,4,96,30.09983389,2,4,0,106,3,61,39,12,10,0,100,60,60,36.79673899,100,48
217,GrowingTree,15,2,22,7,4,90,23.51063589,127,4,49,37,11,9,0,104,56,48,25.48958627,102,45.09090909
218,GrowingTree,19,4,44,6.08276253,2,44,18,129,2,73,30,12,10,0,108,50,72,24.48128537,88,38
219,GrowingTree,16,3,32,10.87300429,3,76,28.76726535,103,2,53,33,10,8,0,110,50,52,28.52998423,106,46.2
